aceh-besar;PARTAI GERAKAN INDONESIA RAYA;Laki-Laki;JAKARTA BARAT;1956;Islam;Sudah Menikah;S3;Wiraswasta
aceh-besar;PARTAI KEADILAN SEJAHTERA;Laki-Laki;ACEH BESAR;1967;Islam;Sudah Menikah;SMA/Sederajat;Pegawai Pemerintah
aceh-besar;PARTAI AMANAT NASIONAL;Laki-Laki;KOTA BANDA ACEH;1967;Islam;Sudah Menikah;S2;Pegawai Pemerintah
aceh-besar;PARTAI GERAKAN INDONESIA RAYA;Laki-Laki;PIDIE;1981;Islam;Sudah Menikah;D4/S1;Pegawai Pemerintah
aceh-besar;PARTAI GERAKAN INDONESIA RAYA;Laki-Laki;KOTA BANDA ACEH;1959;Islam;Sudah Menikah;D4/S1;Pegawai Pemerintah
aceh-besar;PARTAI GOLONGAN KARYA;Laki-Laki;ACEH TENGGARA;1968;Islam;Sudah Menikah;S2;Pegawai Pemerintah
aceh-besar;PARTAI KEBANGKITAN BANGSA;Laki-Laki;KOTA BANDA ACEH;1967;Islam;Sudah Menikah;S2;Pegawai Pemerintah
aceh-besar;PARTAI NASDEM;Laki-Laki;KOTA BANDA ACEH;1971;Islam;Sudah Menikah;D4/S1;Pegawai Pemerintah
aceh-besar;PARTAI AMANAT NASIONAL;Laki-Laki;NAGAN RAYA;1970;Islam;Sudah Menikah;D4/S1;Pegawai Pemerintah
aceh-besar;PARTAI AMANAT NASIONAL;Laki-Laki;KOTA BANDA ACEH;1957;Islam;Sudah Menikah;D4/S1;Pegawai Pemerintah
aceh-besar;PARTAI KEADILAN SEJAHTERA;Laki-Laki;KOTA BANDA ACEH;1973;Islam;Sudah Menikah;D4/S1;Pegawai Pemerintah
aceh-besar;PARTAI NASDEM;Laki-Laki;PIDIE;1977;Islam;Sudah Menikah;S2;Pegawai Pemerintah
aceh-besar;PERSATUAN INDONESIA;Perempuan;ACEH BESAR;1986;Islam;Sudah Menikah;D4/S1;Tidak Bekerja
aceh-besar;PARTAI AMANAT NASIONAL;Perempuan;ACEH BESAR;1980;Islam;Sudah Menikah;D4/S1;Tidak Bekerja
